['131425', '0.03', '-57.20', '0.00', '0.00', '0.96', '-7.31', '-0.50']
['131451', '0.03', '-57.20', '0.00', '0.00', '0.95', '-7.24', '-0.50']
['131477', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.05', '-0.50']
['131503', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.88', '-0.50']
['131529', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.78', '-0.50']
['131555', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.72', '-0.50']
['131581', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.70', '-0.50']
['131607', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.79', '-0.50']
['131633', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.85', '-0.50']
['131659', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.96', '-0.50']
['131685', '0.03', '-57.20', '0.00', '0.00', '0.90', '-6.98', '-0.50']
['131711', '0.03', '-57.20', '0.00', '0.00', '0.90', '-6.99', '-0.50']
['131737', '0.03', '-57.20', '0.00', '0.00', '0.90', '-6.98', '-0.50']
['131763', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.95', '-0.50']
['131789', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.88', '-0.50']
['131815', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.90', '-0.50']
['131841', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.07', '-0.50']
['131867', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.22', '-0.50']
['131893', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.18', '-0.50']
['131919', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.14', '-0.50']
['131945', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.03', '-0.50']
['131971', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.94', '-0.50']
['131997', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['132023', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.83', '-0.50']
['132049', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.84', '-0.50']
['132075', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.83', '-0.50']
['132101', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.85', '-0.50']
['132127', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['132153', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.83', '-0.50']
['132179', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.69', '-0.50']
